time (min),bacterium area (pixels),bacterium area (µm^2)
526,940,2.54176
527,930,2.5147199999999996
528,951,2.571504
529,944,2.5525759999999997
530,948,2.563392
531,968,2.617472
532,965,2.6093599999999997
533,978,2.6445119999999998
534,986,2.6661439999999996
535,983,2.658032
536,993,2.685072
537,992,2.682368
538,998,2.6985919999999997
539,999,2.7012959999999997
540,1011,2.7337439999999997
541,1024,2.768896
542,1032,2.7905279999999997
543,1032,2.7905279999999997
544,1040,2.81216
545,1052,2.8446079999999996
546,1054,2.8500159999999997
547,1056,2.8554239999999997
548,1059,2.863536
549,1070,2.89328
550,1072,2.898688
551,1083,2.928432
552,1084,2.931136
553,1099,2.9716959999999997
554,0,0.0
555,1110,3.0014399999999997
556,1111,3.0041439999999997
557,1117,3.020368
558,1127,3.047408
559,1120,3.0284799999999996
560,1137,3.074448
561,1143,3.0906719999999996
562,1153,3.1177119999999996
563,1157,3.1285279999999998
564,1170,3.16368
565,1173,3.171792
566,1179,3.1880159999999997
567,1183,3.198832
568,1190,3.2177599999999997
569,1195,3.23128
570,1195,3.23128
571,1219,3.2961759999999996
572,1217,3.290768
573,1223,3.3069919999999997
574,1237,3.344848
575,1248,3.374592
576,1249,3.377296
577,1253,3.3881119999999996
578,1264,3.4178559999999996
579,1277,3.4530079999999996
580,1283,3.469232
581,1299,3.5124959999999996
582,1310,3.5422399999999996
583,1324,3.5800959999999997
584,1338,3.617952
585,1347,3.6422879999999997
586,1356,3.6666239999999997
587,1364,3.6882559999999995
588,1370,3.7044799999999998
589,1387,3.7504479999999996
590,1392,3.7639679999999998
591,1392,3.7639679999999998
592,1374,3.715296
593,1367,3.6963679999999997
594,1419,3.836976
595,1374,3.715296
596,807,2.1821279999999996
597,809,2.1875359999999997
598,811,2.192944
599,814,2.201056
600,822,2.2226879999999998
601,828,2.238912
602,828,2.238912
603,841,2.2740639999999996
604,837,2.263248
605,846,2.287584
606,860,2.32544
607,853,2.3065119999999997
608,866,2.3416639999999997
609,870,2.35248
610,876,2.3687039999999997
611,887,2.3984479999999997
612,893,2.414672
613,886,2.3957439999999997
614,897,2.4254879999999996
615,905,2.44712
616,912,2.466048
617,915,2.47416
618,919,2.4849759999999996
619,932,2.5201279999999997
620,930,2.5147199999999996
621,937,2.533648
622,938,2.536352
623,947,2.560688
624,952,2.5742079999999996
625,961,2.598544
626,968,2.617472
627,973,2.630992
628,981,2.652624
629,984,2.660736
630,990,2.67696
631,998,2.6985919999999997
632,1003,2.712112
633,1015,2.74456
634,1009,2.7283359999999997
635,1017,2.749968
636,1029,2.782416
637,1029,2.782416
638,1029,2.782416
639,1043,2.8202719999999997
640,1045,2.8256799999999997
641,1061,2.868944
642,1068,2.8878719999999998
643,1079,2.9176159999999998
644,1076,2.9095039999999996
645,1079,2.9176159999999998
646,1086,2.9365439999999996
647,1091,2.950064
648,1102,2.979808
649,1118,3.023072
650,1126,3.044704
651,1128,3.050112
652,1132,3.0609279999999996
653,1149,3.106896
654,1146,3.0987839999999998
655,1147,3.101488
656,1157,3.1285279999999998
657,1163,3.144752
658,1178,3.1853119999999997
659,1186,3.2069439999999996
660,1185,3.20424
661,1189,3.2150559999999997
662,1194,3.228576
663,1213,3.2799519999999998
664,1219,3.2961759999999996
665,1229,3.323216
666,1230,3.3259199999999995
667,1237,3.344848
668,1236,3.342144
669,1254,3.3908159999999996
670,1257,3.3989279999999997
671,1258,3.4016319999999998
672,1275,3.4475999999999996
673,1286,3.4773439999999995
674,1289,3.4854559999999997
675,1293,3.496272
676,1306,3.531424
677,1317,3.561168
678,1325,3.5827999999999998
679,1337,3.615248
680,1347,3.6422879999999997
681,1347,3.6422879999999997
682,1368,3.6990719999999997
683,1379,3.7288159999999997
684,1374,3.715296
685,1341,3.626064
686,1187,3.2096479999999996
687,768,2.076672
688,772,2.087488
689,763,2.0631519999999997
690,784,2.119936
691,775,2.0955999999999997
692,785,2.1226399999999996
693,790,2.13616
694,794,2.146976
695,799,2.1604959999999997
696,795,2.14968
697,804,2.174016
698,806,2.179424
699,816,2.206464
700,818,2.211872
701,820,2.2172799999999997
702,833,2.2524319999999998
703,830,2.2443199999999996
704,840,2.27136
705,841,2.2740639999999996
706,849,2.295696
707,856,2.314624
708,859,2.322736
709,869,2.349776
710,866,2.3416639999999997
711,876,2.3687039999999997
712,887,2.3984479999999997
713,882,2.384928
714,891,2.409264
715,899,2.4308959999999997
716,907,2.452528
717,910,2.4606399999999997
718,918,2.482272
719,915,2.47416
720,929,2.512016
721,931,2.5174239999999997
722,939,2.539056
723,943,2.5498719999999997
724,954,2.5796159999999997
725,956,2.5850239999999998
726,955,2.5823199999999997
727,968,2.617472
728,972,2.628288
729,981,2.652624
730,980,2.64992
731,994,2.687776
732,1006,2.720224
733,1001,2.7067039999999998
734,1012,2.7364479999999998
735,1020,2.7580799999999996
736,1022,2.7634879999999997
737,1031,2.7878239999999996
738,1041,2.8148639999999996
739,1050,2.8392
740,1059,2.863536
741,1050,2.8392
742,1068,2.8878719999999998
743,1073,2.901392
744,1087,2.9392479999999996
745,1088,2.9419519999999997
746,1083,2.928432
747,1095,2.96088
748,1100,2.9743999999999997
749,1112,3.0068479999999997
750,1132,3.0609279999999996
751,1126,3.044704
752,1127,3.047408
753,1139,3.079856
754,1160,3.13664
755,1158,3.131232
756,1163,3.144752
757,1181,3.193424
758,1187,3.2096479999999996
759,1190,3.2177599999999997
760,1203,3.252912
761,1221,3.3015839999999996
762,1235,3.3394399999999997
763,1225,3.3124
764,1233,3.3340319999999997
765,1234,3.3367359999999997
766,1247,3.3718879999999998
767,1256,3.3962239999999997
768,1256,3.3962239999999997
769,1266,3.4232639999999996
770,1296,3.504384
771,1291,3.4908639999999997
772,1283,3.469232
773,1292,3.493568
774,1317,3.561168
775,714,1.930656
776,710,1.9198399999999998
777,721,1.9495839999999998
778,729,1.9712159999999999
779,735,1.9874399999999999
780,735,1.9874399999999999
781,741,2.0036639999999997
782,748,2.022592
783,757,2.046928
784,750,2.028
785,765,2.0685599999999997
786,768,2.076672
787,763,2.0631519999999997
788,767,2.073968
789,783,2.117232
790,788,2.1307519999999998
791,791,2.138864
792,800,2.1632
793,796,2.1523839999999996
794,807,2.1821279999999996
795,809,2.1875359999999997
796,808,2.1848319999999997
797,817,2.209168
798,819,2.2145759999999997
799,833,2.2524319999999998
800,836,2.260544
801,833,2.2524319999999998
802,841,2.2740639999999996
803,851,2.301104
804,856,2.314624
805,861,2.328144
806,864,2.3362559999999997
807,874,2.3632959999999996
808,879,2.376816
809,882,2.384928
810,880,2.37952
811,892,2.411968
812,896,2.422784
813,900,2.4335999999999998
814,910,2.4606399999999997
815,915,2.47416
816,924,2.498496
817,923,2.495792
818,940,2.54176
819,935,2.52824
820,942,2.5471679999999997
821,946,2.557984
822,951,2.571504
823,963,2.6039519999999996
824,961,2.598544
825,979,2.647216
826,972,2.628288
827,977,2.6418079999999997
828,986,2.6661439999999996
829,1000,2.7039999999999997
830,999,2.7012959999999997
831,1006,2.720224
